ISO,share_2010
AFG,0.0
ALB,0.008366904594883815
DZA,0.007845459555717698
AGO,0.06956205723807206
ARG,0.022551968290905118
ARM,0.0
AUS,0.14717626786522636
AUT,0.0
AZE,0.0
BHS,0.039882210993159306
BHR,0.022501145802822586
BGD,0.33685032250822616
BRB,0.02597456330312293
BEL,0.179774821235896
BLZ,0.05398544963274539
BEN,0.0
BTN,0.0
BOL,0.0
BIH,0.0
BWA,0.0
BRA,0.052743746516200285
BGR,0.0
BFA,0.0
BDI,0.0
KHM,0.02682815360878087
CMR,0.09920712350517576
CAN,0.02620427064023061
CPV,0.020844573515390985
CAF,0.0
TCD,0.0
CHL,0.017614768825825373
CHN,0.03414332031473054
COL,0.006879500317681465
COM,0.005142795341489785
CRI,0.007024547790685019
HRV,0.0022002477703305886
CUB,0.014366431874198705
CYP,0.0
CZE,0.0
DNK,0.030431686257027347
DJI,0.1786934602057784
DOM,0.0036024003312152535
ECU,0.05636480622957354
SLV,0.005040369334868412
GNQ,0.0
ERI,0.0024929644199083393
EST,0.01685464944685522
ETH,1.4330023835832683e-05
FJI,0.1937873498346086
FIN,0.0015443339588755516
FRA,0.019019649105378938
PYF,0.0
GAB,0.03844686712535433
GMB,0.051962260826646706
GEO,0.006219485681151665
DEU,0.02562104315875316
GHA,0.0
GRC,0.0
GRD,0.0
GTM,0.0013025653422480148
GIN,0.0010932891311035411
GNB,0.07207073193946566
GUY,0.6619888035940988
HTI,0.005189983460068528
HND,0.003894780246351825
HUN,0.0
ISL,0.0
IND,0.01796409145602824
IDN,0.07157858526870955
IRQ,0.023763746009457812
IRL,0.08007364967553961
ISR,0.00031515442690062
ITA,0.011640509737844
JAM,0.0005520051281423915
JPN,0.08463541917693732
JOR,0.0007864957587934681
KAZ,0.0
KEN,0.0066853160329035525
KWT,0.036123838284758014
LVA,0.014986350595770633
LBN,0.0
LSO,0.0
LBR,0.0
LBY,0.014102181282107303
LTU,0.020163748022280575
LUX,0.0
MDG,0.005666460576156483
MWI,0.0
MYS,0.1094211363219791
MDV,0.0
MLI,0.0
MLT,0.0
MRT,0.0005859229968415062
MUS,0.0
MEX,0.018563552154542116
MDA,1.3112254392482796e-05
MNG,0.0
MAR,0.03664904891905975
MOZ,0.042215646086091546
NAM,0.0010542338206410025
NPL,0.0
NLD,0.5742739162185944
NCL,0.0
NZL,0.05382921334950834
NIC,0.0022289560921626935
NER,0.0
NGA,0.001433425653808856
NOR,0.006576943761992902
OMN,0.021010754926561192
PAK,0.010618026036154216
PAN,0.06417523325477581
PNG,0.037509666227258966
PRY,0.0
PER,0.037203895802141645
PHL,0.042173104802103505
POL,0.007068708708399885
PRT,0.010422888916445933
PRI,0.006930517178016784
QAT,0.0046990023997651184
RWA,0.0
STP,0.0
SAU,0.008655704107068719
SEN,0.02700886356440412
SLE,0.010574111328801804
SGP,0.08486590884922643
SVN,0.0
SLB,0.03684696693793681
SOM,0.0018360037732122693
ZAF,0.004825128928875043
ESP,0.02245732340432099
LKA,0.05096709215940566
LCA,0.0
VCT,0.014261723893324774
SDN,2.687072444772796e-05
SUR,0.1838234048637411
SWZ,0.0
SWE,0.011351473977450828
CHE,0.0
TJK,0.0
THA,0.17658348432787363
TGO,0.0
TON,0.6826841372297832
TTO,0.05133082591870404
TUN,0.038196364268793026
TUR,0.0008648869058645463
TKM,0.0
UGA,0.0
UKR,0.012867459573378334
ARE,0.013953031438521814
GBR,0.05834035598550498
USA,0.01861156370068079
URY,0.0325418506554558
UZB,0.0
VUT,0.15646889329777766
VNM,0.31336950010592063
ZMB,0.0
ZWE,0.0
